# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.3517843      4.4210128       ||    0.0289000      0.0015984      
atlas_exot_2016_27            EM2                                                         0.3863522      0.5860042       ||    0.0414000      0.0019007      
atlas_exot_2016_27            EM3                                                         0.9989642      1.6316150       ||    0.0521000      0.0021203      
atlas_exot_2016_27            EM4                                                         0.3032630      0.3392931       ||    0.1124000      0.0030136      
atlas_exot_2016_27            EM5                                                         0.1344908      0.1893194       ||    0.0854000      0.0026665      
atlas_exot_2016_27            EM6                                                         0.1011844      0.1680750       ||    0.0510000      0.0020990      
atlas_exot_2016_27            EM7                                                         0.1023046      0.1455380       ||    0.0249000      0.0014867      
atlas_exot_2016_27            EM8                                                         0.1067253      0.1845068       ||    0.0149000      0.0011559      
atlas_exot_2016_27            EM9                                                         0.0959668      0.1169580       ||    0.0101000      0.0009540      
atlas_exot_2016_27            IM1                                                         0.7316825      1.2346822       ||    0.4318999      0.0047260      
atlas_exot_2016_27            IM2                                                         0.4606303      0.8202826       ||    0.4030000      0.0046799      
atlas_exot_2016_27            IM3                                                         0.2888711      0.5342856       ||    0.3616001      0.0045841      
atlas_exot_2016_27            IM4                                                         0.1783643      0.2975485       ||    0.3095000      0.0044107      
atlas_exot_2016_27            IM5                                                         0.0985420      0.2176420       ||    0.1971000      0.0037955      
atlas_exot_2016_27            IM6                                                         0.0842629      0.1749685       ||    0.1117000      0.0030054      
atlas_exot_2016_27            IM7                                                         0.0897756      0.1274455       ||    0.0607000      0.0022782      
atlas_exot_2016_27            IM8                                                         0.0953480      0.1399112       ||    0.0358000      0.0017726      
atlas_exot_2016_27            IM9                                                         0.1056999      0.1086388       ||    0.0209000      0.0013648      
atlas_exot_2016_27            IM10                                                        0.1422160      0.1542299       ||    0.0108000      0.0009862      

