# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.4607766      4.5420178       ||    0.0281000      0.0015767      
atlas_exot_2016_27            EM2                                                         0.3745869      0.5670248       ||    0.0427000      0.0019290      
atlas_exot_2016_27            EM3                                                         0.9872564      1.6131597       ||    0.0527000      0.0021318      
atlas_exot_2016_27            EM4                                                         0.3054069      0.3394840       ||    0.1119000      0.0030077      
atlas_exot_2016_27            EM5                                                         0.1320166      0.1876319       ||    0.0866000      0.0026834      
atlas_exot_2016_27            EM6                                                         0.1091197      0.1819753       ||    0.0471000      0.0020213      
atlas_exot_2016_27            EM7                                                         0.0946058      0.1330965       ||    0.0271000      0.0015492      
atlas_exot_2016_27            EM8                                                         0.1052030      0.1822820       ||    0.0151000      0.0011635      
atlas_exot_2016_27            EM9                                                         0.0947494      0.1155412       ||    0.0102000      0.0009587      
atlas_exot_2016_27            IM1                                                         0.7307233      1.2390658       ||    0.4316999      0.0047258      
atlas_exot_2016_27            IM2                                                         0.4579518      0.8190102       ||    0.4036001      0.0046810      
atlas_exot_2016_27            IM3                                                         0.2899500      0.5361313       ||    0.3608999      0.0045822      
atlas_exot_2016_27            IM4                                                         0.1786695      0.2982749       ||    0.3082000      0.0044056      
atlas_exot_2016_27            IM5                                                         0.0987364      0.2187882       ||    0.1963000      0.0037897      
atlas_exot_2016_27            IM6                                                         0.0861098      0.1776872       ||    0.1097000      0.0029817      
atlas_exot_2016_27            IM7                                                         0.0873838      0.1236944       ||    0.0626000      0.0023112      
atlas_exot_2016_27            IM8                                                         0.0962476      0.1408180       ||    0.0355000      0.0017655      
atlas_exot_2016_27            IM9                                                         0.1078347      0.1116796       ||    0.0204000      0.0013488      
atlas_exot_2016_27            IM10                                                        0.1498176      0.1635105       ||    0.0102000      0.0009587      

