# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.5644334      4.6216379       ||    0.0276000      0.0015630      
atlas_exot_2016_27            EM2                                                         0.3672736      0.5528447       ||    0.0438000      0.0019526      
atlas_exot_2016_27            EM3                                                         0.9981471      1.6316579       ||    0.0520000      0.0021184      
atlas_exot_2016_27            EM4                                                         0.2989953      0.3323465       ||    0.1146000      0.0030392      
atlas_exot_2016_27            EM5                                                         0.1334289      0.1910146       ||    0.0851000      0.0026622      
atlas_exot_2016_27            EM6                                                         0.1046920      0.1749626       ||    0.0490000      0.0020596      
atlas_exot_2016_27            EM7                                                         0.0963687      0.1356622       ||    0.0266000      0.0015353      
atlas_exot_2016_27            EM8                                                         0.1063179      0.1844834       ||    0.0149000      0.0011559      
atlas_exot_2016_27            EM9                                                         0.0896502      0.1092982       ||    0.0108000      0.0009862      
atlas_exot_2016_27            IM1                                                         0.7296264      1.2276083       ||    0.4346999      0.0047296      
atlas_exot_2016_27            IM2                                                         0.4570854      0.8118675       ||    0.4071001      0.0046874      
atlas_exot_2016_27            IM3                                                         0.2864550      0.5323848       ||    0.3632999      0.0045887      
atlas_exot_2016_27            IM4                                                         0.1774234      0.2945920       ||    0.3113000      0.0044177      
atlas_exot_2016_27            IM5                                                         0.0986775      0.2185000       ||    0.1967000      0.0037926      
atlas_exot_2016_27            IM6                                                         0.0843075      0.1751155       ||    0.1116000      0.0030042      
atlas_exot_2016_27            IM7                                                         0.0873951      0.1237856       ||    0.0626000      0.0023112      
atlas_exot_2016_27            IM8                                                         0.0951626      0.1387249       ||    0.0360000      0.0017774      
atlas_exot_2016_27            IM9                                                         0.1046851      0.1081186       ||    0.0211000      0.0013712      
atlas_exot_2016_27            IM10                                                        0.1485085      0.1615832       ||    0.0103000      0.0009633      

