# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    atlas_exot_2016_27            EM1                                                         4.3581543      4.4479691       ||    0.0288000      0.0015957      
defaultset                    atlas_exot_2016_27            EM2                                                         0.3686008      0.5587810       ||    0.0434000      0.0019440      
defaultset                    atlas_exot_2016_27            EM3                                                         1.0050000      1.6476690       ||    0.0514000      0.0021068      
defaultset                    atlas_exot_2016_27            EM4                                                         0.3043404      0.3382982       ||    0.1128000      0.0030183      
defaultset                    atlas_exot_2016_27            EM5                                                         0.1318406      0.1869871       ||    0.0868000      0.0026862      
defaultset                    atlas_exot_2016_27            EM6                                                         0.1056123      0.1774535       ||    0.0484000      0.0020476      
defaultset                    atlas_exot_2016_27            EM7                                                         0.0974876      0.1365789       ||    0.0264000      0.0015296      
defaultset                    atlas_exot_2016_27            EM8                                                         0.1011564      0.1751927       ||    0.0157000      0.0011861      
defaultset                    atlas_exot_2016_27            EM9                                                         0.0970435      0.1186622       ||    0.0100000      0.0009493      
defaultset                    atlas_exot_2016_27            IM1                                                         0.7232061      1.2271195       ||    0.4346000      0.0047295      
defaultset                    atlas_exot_2016_27            IM2                                                         0.4560740      0.8151855       ||    0.4058001      0.0046851      
defaultset                    atlas_exot_2016_27            IM3                                                         0.2859827      0.5322724       ||    0.3623999      0.0045863      
defaultset                    atlas_exot_2016_27            IM4                                                         0.1775638      0.2959581       ||    0.3110000      0.0044166      
defaultset                    atlas_exot_2016_27            IM5                                                         0.0979242      0.2164451       ||    0.1982000      0.0038035      
defaultset                    atlas_exot_2016_27            IM6                                                         0.0847719      0.1751267       ||    0.1114000      0.0030019      
defaultset                    atlas_exot_2016_27            IM7                                                         0.0867486      0.1226626       ||    0.0630000      0.0023181      
defaultset                    atlas_exot_2016_27            IM8                                                         0.0934099      0.1363747       ||    0.0366000      0.0017916      
defaultset                    atlas_exot_2016_27            IM9                                                         0.1051103      0.1090304       ||    0.0209000      0.0013648      
defaultset                    atlas_exot_2016_27            IM10                                                        0.1407314      0.1540174       ||    0.0109000      0.0009907      

