# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.3914093      4.4769166       ||    0.0286000      0.0015903      
atlas_exot_2016_27            EM2                                                         0.3707731      0.5641673       ||    0.0430000      0.0019355      
atlas_exot_2016_27            EM3                                                         1.0099302      1.6500075       ||    0.0515000      0.0021087      
atlas_exot_2016_27            EM4                                                         0.3067872      0.3434619       ||    0.1113000      0.0030007      
atlas_exot_2016_27            EM5                                                         0.1323843      0.1884893       ||    0.0862000      0.0026778      
atlas_exot_2016_27            EM6                                                         0.1050090      0.1753878       ||    0.0489000      0.0020576      
atlas_exot_2016_27            EM7                                                         0.0986228      0.1388991       ||    0.0259000      0.0015155      
atlas_exot_2016_27            EM8                                                         0.1086644      0.1880733       ||    0.0146000      0.0011444      
atlas_exot_2016_27            EM9                                                         0.1021335      0.1248459       ||    0.0095000      0.0009255      
atlas_exot_2016_27            IM1                                                         0.7309781      1.2359304       ||    0.4307001      0.0047245      
atlas_exot_2016_27            IM2                                                         0.4623325      0.8224287       ||    0.4021001      0.0046782      
atlas_exot_2016_27            IM3                                                         0.2897412      0.5374332       ||    0.3591000      0.0045772      
atlas_exot_2016_27            IM4                                                         0.1797566      0.2988342       ||    0.3076000      0.0044032      
atlas_exot_2016_27            IM5                                                         0.0989247      0.2191500       ||    0.1963000      0.0037897      
atlas_exot_2016_27            IM6                                                         0.0857330      0.1770430       ||    0.1101000      0.0029865      
atlas_exot_2016_27            IM7                                                         0.0890714      0.1264530       ||    0.0612000      0.0022869      
atlas_exot_2016_27            IM8                                                         0.0972464      0.1414703       ||    0.0353000      0.0017607      
atlas_exot_2016_27            IM9                                                         0.1063266      0.1101773       ||    0.0207000      0.0013584      
atlas_exot_2016_27            IM10                                                        0.1362144      0.1493840       ||    0.0112000      0.0010041      

