# dataset name                analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
defaultset                    atlas_exot_2016_27            EM1                                                         4.6354115      4.6954552       ||    0.0271000      0.0015492      
defaultset                    atlas_exot_2016_27            EM2                                                         0.3802683      0.5764033       ||    0.0420000      0.0019138      
defaultset                    atlas_exot_2016_27            EM3                                                         0.9749380      1.5946321       ||    0.0532000      0.0021413      
defaultset                    atlas_exot_2016_27            EM4                                                         0.2974437      0.3305547       ||    0.1151000      0.0030449      
defaultset                    atlas_exot_2016_27            EM5                                                         0.1339143      0.1907125       ||    0.0851000      0.0026622      
defaultset                    atlas_exot_2016_27            EM6                                                         0.1064203      0.1772251       ||    0.0484000      0.0020476      
defaultset                    atlas_exot_2016_27            EM7                                                         0.0982050      0.1374978       ||    0.0261000      0.0015211      
defaultset                    atlas_exot_2016_27            EM8                                                         0.1078392      0.1846081       ||    0.0149000      0.0011559      
defaultset                    atlas_exot_2016_27            EM9                                                         0.0946303      0.1146911       ||    0.0103000      0.0009633      
defaultset                    atlas_exot_2016_27            IM1                                                         0.7290101      1.2338962       ||    0.4333001      0.0047279      
defaultset                    atlas_exot_2016_27            IM2                                                         0.4549958      0.8138186       ||    0.4062001      0.0046858      
defaultset                    atlas_exot_2016_27            IM3                                                         0.2861789      0.5309274       ||    0.3642001      0.0045912      
defaultset                    atlas_exot_2016_27            IM4                                                         0.1773126      0.2953681       ||    0.3110000      0.0044166      
defaultset                    atlas_exot_2016_27            IM5                                                         0.0988549      0.2188316       ||    0.1959000      0.0037867      
defaultset                    atlas_exot_2016_27            IM6                                                         0.0852000      0.1765089       ||    0.1108000      0.0029948      
defaultset                    atlas_exot_2016_27            IM7                                                         0.0877128      0.1238678       ||    0.0624000      0.0023078      
defaultset                    atlas_exot_2016_27            IM8                                                         0.0942722      0.1379947       ||    0.0363000      0.0017845      
defaultset                    atlas_exot_2016_27            IM9                                                         0.1025998      0.1065014       ||    0.0214000      0.0013807      
defaultset                    atlas_exot_2016_27            IM10                                                        0.1380732      0.1502479       ||    0.0111000      0.0009996      

