# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.1438493      4.2023551       ||    0.0304000      0.0016380      
atlas_exot_2016_27            EM2                                                         0.3658579      0.5559062       ||    0.0436000      0.0019483      
atlas_exot_2016_27            EM3                                                         0.9963093      1.6302560       ||    0.0521000      0.0021203      
atlas_exot_2016_27            EM4                                                         0.2973291      0.3311630       ||    0.1153000      0.0030472      
atlas_exot_2016_27            EM5                                                         0.1336130      0.1904858       ||    0.0854000      0.0026665      
atlas_exot_2016_27            EM6                                                         0.1062781      0.1771065       ||    0.0484000      0.0020476      
atlas_exot_2016_27            EM7                                                         0.0993354      0.1392693       ||    0.0259000      0.0015155      
atlas_exot_2016_27            EM8                                                         0.0988601      0.1705698       ||    0.0161000      0.0012008      
atlas_exot_2016_27            EM9                                                         0.0983082      0.1191488       ||    0.0099000      0.0009446      
atlas_exot_2016_27            IM1                                                         0.7166867      1.2117784       ||    0.4379000      0.0047336      
atlas_exot_2016_27            IM2                                                         0.4546453      0.8101530       ||    0.4075001      0.0046882      
atlas_exot_2016_27            IM3                                                         0.2850768      0.5309838       ||    0.3638999      0.0045904      
atlas_exot_2016_27            IM4                                                         0.1777323      0.2958531       ||    0.3118000      0.0044197      
atlas_exot_2016_27            IM5                                                         0.0988017      0.2179891       ||    0.1965000      0.0037911      
atlas_exot_2016_27            IM6                                                         0.0848739      0.1760858       ||    0.1111000      0.0029983      
atlas_exot_2016_27            IM7                                                         0.0869657      0.1233580       ||    0.0627000      0.0023130      
atlas_exot_2016_27            IM8                                                         0.0929662      0.1360951       ||    0.0368000      0.0017963      
atlas_exot_2016_27            IM9                                                         0.1065472      0.1097383       ||    0.0207000      0.0013584      
atlas_exot_2016_27            IM10                                                        0.1414957      0.1545174       ||    0.0108000      0.0009862      

