# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.2708255      4.3506618       ||    0.0294000      0.0016117      
atlas_exot_2016_27            EM2                                                         0.3847540      0.5783742       ||    0.0417000      0.0019073      
atlas_exot_2016_27            EM3                                                         1.0110776      1.6584359       ||    0.0512000      0.0021029      
atlas_exot_2016_27            EM4                                                         0.3021810      0.3339840       ||    0.1137000      0.0030288      
atlas_exot_2016_27            EM5                                                         0.1343101      0.1909952       ||    0.0849000      0.0026594      
atlas_exot_2016_27            EM6                                                         0.1054085      0.1759953       ||    0.0487000      0.0020536      
atlas_exot_2016_27            EM7                                                         0.1010586      0.1418606       ||    0.0255000      0.0015040      
atlas_exot_2016_27            EM8                                                         0.0949999      0.1643609       ||    0.0167000      0.0012226      
atlas_exot_2016_27            EM9                                                         0.0964792      0.1181677       ||    0.0100000      0.0009493      
atlas_exot_2016_27            IM1                                                         0.7273352      1.2337244       ||    0.4326001      0.0047270      
atlas_exot_2016_27            IM2                                                         0.4620683      0.8191933       ||    0.4032001      0.0046802      
atlas_exot_2016_27            IM3                                                         0.2872506      0.5355490       ||    0.3615000      0.0045838      
atlas_exot_2016_27            IM4                                                         0.1783112      0.2961426       ||    0.3103000      0.0044138      
atlas_exot_2016_27            IM5                                                         0.0986673      0.2184872       ||    0.1966000      0.0037919      
atlas_exot_2016_27            IM6                                                         0.0841890      0.1750967       ||    0.1117000      0.0030054      
atlas_exot_2016_27            IM7                                                         0.0866666      0.1230614       ||    0.0630000      0.0023181      
atlas_exot_2016_27            IM8                                                         0.0913885      0.1334368       ||    0.0375000      0.0018126      
atlas_exot_2016_27            IM9                                                         0.1058235      0.1097348       ||    0.0208000      0.0013616      
atlas_exot_2016_27            IM10                                                        0.1399003      0.1545276       ||    0.0108000      0.0009862      

