(mChi, mPhi)         xsec                 s95(exp)             s95(obs)            
(1600, 3500)         1.43753778039e-05    0.1043632            0.1082467
(2000, 3500)         3.9650331284e-06     0.1063266            0.1101773
(10, 4000)           0.00101572481001     0.1115636            0.1153990
(100, 4000)          0.000859364509975    0.1056511            0.1097280
(200, 4000)          0.000649007880015    0.1065174            0.1102150
(300, 4000)          0.000484931956009    0.1070160            0.1104603
(400, 4000)          0.000360851242059    0.0903938            0.1098051
(500, 4000)          0.000266485123375    0.1006335            0.1048688
(600, 4000)          0.00019840248442     0.1056999            0.1086388
(700, 4000)          0.000146862219115    0.1066220            0.1102467
(800, 4000)          0.000108640566749    0.1063421            0.1101466
(1000, 4000)         5.94808706155e-05    0.1028141            0.1075658
(1200, 4000)         3.21149443321e-05    0.1070282            0.1109794
(1400, 4000)         1.71157232173e-05    0.1073745            0.1116642
(1600, 4000)         9.08189940771e-06    0.1037099            0.1074675
(2000, 4000)         2.40839865122e-06    0.1080803            0.1125012
