# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.5986402      4.6611010       ||    0.0273000      0.0015548      
atlas_exot_2016_27            EM2                                                         0.3497626      0.5286553       ||    0.0457000      0.0019925      
atlas_exot_2016_27            EM3                                                         1.0064427      1.6405675       ||    0.0516000      0.0021106      
atlas_exot_2016_27            EM4                                                         0.3073586      0.3433186       ||    0.1111000      0.0029983      
atlas_exot_2016_27            EM5                                                         0.1313211      0.1869212       ||    0.0868000      0.0026862      
atlas_exot_2016_27            EM6                                                         0.1043741      0.1730415       ||    0.0495000      0.0020695      
atlas_exot_2016_27            EM7                                                         0.1016434      0.1440520       ||    0.0251000      0.0014925      
atlas_exot_2016_27            EM8                                                         0.1017471      0.1771215       ||    0.0156000      0.0011823      
atlas_exot_2016_27            EM9                                                         0.0949410      0.1164679       ||    0.0102000      0.0009587      
atlas_exot_2016_27            IM1                                                         0.7274563      1.2322618       ||    0.4331999      0.0047277      
atlas_exot_2016_27            IM2                                                         0.4554084      0.8136641       ||    0.4058999      0.0046853      
atlas_exot_2016_27            IM3                                                         0.2908327      0.5359440       ||    0.3602000      0.0045802      
atlas_exot_2016_27            IM4                                                         0.1794140      0.2985303       ||    0.3086000      0.0044071      
atlas_exot_2016_27            IM5                                                         0.0984122      0.2173941       ||    0.1975000      0.0037984      
atlas_exot_2016_27            IM6                                                         0.0853852      0.1767080       ||    0.1107000      0.0029936      
atlas_exot_2016_27            IM7                                                         0.0894815      0.1261278       ||    0.0612000      0.0022869      
atlas_exot_2016_27            IM8                                                         0.0945655      0.1386774       ||    0.0361000      0.0017798      
atlas_exot_2016_27            IM9                                                         0.1075076      0.1121398       ||    0.0205000      0.0013520      
atlas_exot_2016_27            IM10                                                        0.1482276      0.1626871       ||    0.0103000      0.0009633      

