# analysis name               signal region                                               sig95(exp)     sig95(obs)        ||    efficiency     stat           
atlas_exot_2016_27            EM1                                                         4.5468240      4.6514686       ||    0.0276000      0.0015630      
atlas_exot_2016_27            EM2                                                         0.3760086      0.5717282       ||    0.0424000      0.0019225      
atlas_exot_2016_27            EM3                                                         1.0117298      1.6501919       ||    0.0514000      0.0021068      
atlas_exot_2016_27            EM4                                                         0.2992107      0.3332480       ||    0.1140000      0.0030322      
atlas_exot_2016_27            EM5                                                         0.1355865      0.1929380       ||    0.0843000      0.0026508      
atlas_exot_2016_27            EM6                                                         0.1040654      0.1733739       ||    0.0494000      0.0020675      
atlas_exot_2016_27            EM7                                                         0.0942991      0.1338028       ||    0.0271000      0.0015492      
atlas_exot_2016_27            EM8                                                         0.1086890      0.1887488       ||    0.0146000      0.0011444      
atlas_exot_2016_27            EM9                                                         0.0944796      0.1158974       ||    0.0102000      0.0009587      
atlas_exot_2016_27            IM1                                                         0.7293472      1.2293468       ||    0.4320999      0.0047263      
atlas_exot_2016_27            IM2                                                         0.4563650      0.8156473       ||    0.4045001      0.0046827      
atlas_exot_2016_27            IM3                                                         0.2869950      0.5341106       ||    0.3621000      0.0045855      
atlas_exot_2016_27            IM4                                                         0.1789737      0.2968274       ||    0.3107000      0.0044154      
atlas_exot_2016_27            IM5                                                         0.0988220      0.2185075       ||    0.1967000      0.0037926      
atlas_exot_2016_27            IM6                                                         0.0844148      0.1739650       ||    0.1124000      0.0030136      
atlas_exot_2016_27            IM7                                                         0.0868047      0.1229927       ||    0.0630000      0.0023181      
atlas_exot_2016_27            IM8                                                         0.0955183      0.1389256       ||    0.0359000      0.0017750      
atlas_exot_2016_27            IM9                                                         0.1028141      0.1075658       ||    0.0213000      0.0013776      
atlas_exot_2016_27            IM10                                                        0.1382194      0.1506725       ||    0.0111000      0.0009996      

